Cleaned_Comment,Predicted_Sentiment
hocam adamsiniz,Neutral
son soru zordu 3 kere izledim yine anlamadım,Positive
galiba sefer anladım inş,Positive
tek çift dereceli terimlerin toplamında p1ve p1 olması gerekmekte değil midir a hrefhttpswwwyoutubecomwatchvpo09e7mdfwampt170250a,Negative
20 dk lık polinomu 2x izlerken benim yüzsüzlük,Positive
hocam bölümü kazandım şimdi üni deki math quizi gelip bakıyorum ünide olsak gene lazım oluyor videolarınız,Positive
a hrefhttpswwwyoutubecomwatchvpo09e7mdfwampt469749a 2dereceden denkleme göre ba yaptı 3 dereceden bir denklem,Neutral
a hrefhttpswwwyoutubecomwatchvpo09e7mdfwampt3290529a cevap 10x10 değil mi,Negative
a hrefhttpswwwyoutubecomwatchvpo09e7mdfwampt2310351a 310 13 oldu anlamadım,Neutral
mezunlara selam,Neutral
a hrefhttpswwwyoutubecomwatchvpo09e7mdfwampt319519a dakika beş gol bir,Neutral
yine buraya geldim,Neutral
sizi instagramdan 45 aydır takip ediyorum cıvık bir hocadır derslerde laylaylom yapar önyargılarım vardı hepsini kırdınız hocam polinom sorularını yapabilmeye başladım allah razı olsun,Positive
sağolun hocam tekrardan matematiğin zor bir ders olduğunu idrak ettim,Neutral
hocam hangisi tyt hangisi ayt düzeyde olduğunu keşke yazdaydınız bazılarını bana karışık geldi,Negative
7dakikadaki soruda x1 x2 3 a39ya eşit oldu,Positive
sınav gecesi saat a hrefhttpswwwyoutubecomwatchvpo09e7mdfwampt110011a ilk baktım polinomlara sonucu yazarim,Neutral
yavaştan başlayalım,Neutral
yavaştan izlemenin vakti geldi,Neutral
dilci olarak calismadigim bir konu kalmisti calissam anlamazmisim zatenhocam cok guzel anlatmissiniz agziniza sagliksikinti bende yanlis anlasilmasin,Positive
son 2 hakk,Neutral
hocam polinomları sayenizde anladım allah razı olsun iyi anlatıyosunuz öğrenme garantili bütün videolarınız iyi,Positive
hocam sağolun sınava 6 gün kala polinomlarıda hallettim şükür,Neutral
matematik ogrendim turkce unuttum,Neutral
son 16,Neutral
kral 1saatte ayt mat videosu çekse anlamazsak namertim,Neutral
nan,Neutral
a hrefhttpswwwyoutubecomwatchvpo09e7mdfwampt8441404a hatırlatın lütfen,Neutral
alahıım çıldırıcam anlayamıyorum anlıom sa,Neutral
sen rahat olll,Positive
hocam gerçekten kadar matamatikmi izledim sizin pratik çozen olmadı anladım abone like aticam kesin,Positive
651 p4 39ü bulmak x yerine 5 yazılması gerekmiyo,Neutral
konu anlatımından sonra gelen sorulardan bişey anlamadım güzeldi,Positive
sen adammsın be hocam,Positive
a hrefhttpswwwyoutubecomwatchvpo09e7mdfwampt12002000a kısmı anlamadım5 nereden geldi 1 in küpü falan anlayan anlatabilir mi,Positive
hocam pdf linki atabilirmisiniz,Neutral
hocam karslımısınız diyarbakırlı,Neutral
a hrefhttpswwwyoutubecomwatchvpo09e7mdfwampt11891949a hocam burada bölme yaptık anlatabilir misiniz anlayamadım,Neutral
hocam heykelinizi yapsak beton yetmez muhteşemsiniz,Neutral
cideen bise anlayan var mi,Positive
allah razı olsun 2 saatte anlamadığımı anladım,Positive
aslan hocam anladim,Neutral
adam aynı ben,Neutral
pesinizden at mi kovaliyo yavas anlatin,Positive
hocam ben malım mat yapamıyorum sizi izlemek cok eğlenceli,Positive
hocam aaa aha ben boğuldum nefes alin seviliyorsunuz harika anlatimm,Positive
gece saat 2 ben benim binlerce genç kız bugün berat kandili nelerden feda ettiğini allah görüyor sakin vazgeçme kızım inan bana iki ay sonra buraya gelip basardim diyeceksin hayırlısıyla allah sana mutluluğu nasip edecek sakın vazgecme umudunu kaybetme allah seninle beraber,Negative
matematikin gıler yızii,Neutral
6 soru 972 mi çıkıyor,Positive
a hrefhttpswwwyoutubecomwatchvpo09e7mdfwampt8001320a minnet eylemem giriyor,Neutral
hocam ben normal bölme bile yapamiyorum bir polinom bolmesi cikti,Neutral
hocam sakin olun,Positive
nan,Neutral
hangileri doğrudur yanlıştırr devaaaaam,Neutral
önce 600tl verdiğim özel dersten çıkıp bir anlamadığım buraya geldim hocanın 15 saatte anlayamadığını matematiğin güler yüzü 20 dk anlattı sağolun hocam,Positive
a hrefhttpswwwyoutubecomwatchvpo09e7mdfwampt10371717a x yerine 2 yazmamız gerekmezmiydi bilen aydılatabilirmi,Positive
hocam muhteşemsiniz,Neutral
polinom bölmesi senin sıran gelicek bekle,Negative
hocam konuda dinlerim anlarım konuda anlamadım sorun bende galiba böyle oldu,Negative
mantık olay,Neutral
a hrefhttpswwwyoutubecomwatchvpo09e7mdfwampt463743a hocam 3 dereceden polinomun kökler toplamını orda bulduk,Negative
hocam güzel anlatmışsınız bildiklerimi unutmuşum,Positive
nan,Neutral
boyyle cikmiuor,Neutral
sondan 2 soruyu 3 e bölerek x1 ³ bulduk anlamadım,Positive
hocam harika anlatmışsınız,Positive
polinom bilmeyen bile sizden dinleyince anlar hocam baş tacısınız,Positive
soruları yapabilyor olsam sınav tarzmı soruyor bilgi verirseniz sevinirim,Neutral
teşekkürler hocam,Positive
sag olun hocamm tekrar icin sizden iyisi yok,Positive
arkadaşlar sizce sınavda böylemi cikar,Positive
mantık olay ghhbjbn,Neutral
mantık olay,Neutral
gençler sınav iptal edilecekmiş yorumlayın artık ertelendi,Neutral
0400 soruyu yanlış yaptınız galiba,Positive
hocam fonksiyonlar gelsin lütfenn,Positive
beyler adamın attığı dakika konu videoları verimlimi benim polinom um iyi değil adamı dinlesem yapılırmı sorular,Negative
tyt matamatikte gelsin,Positive
hocam pdf yok,Positive
supaaaa videooo,Neutral
a hrefhttpswwwyoutubecomwatchvcmg4gjt4uaohttpsyoutubecmg4gjt4uaoabrbrâşık veysel39i anma kutlama yılı,Neutral
arkadaşlar polinom bende sıfır sınavın zorluğun gecen sene gelirse sizce video 1 net yapılırmı polinomlarda,Negative
hocam deli dehşet güzel bir seriiii,Positive
videoyu izlerken telefon burnuma düştü kanadı yks bana bir burun borçlu jghgjghjhkj,Positive
hocam böyle videolar mükemmel aynen devam,Positive
hocam lütfen permitasyon kombinasyon binom hocam yardımm,Neutral
sırada 2021 ayt polinom sorusu şaka yapıyorsun canım,Neutral
sağolun hocam sayenizde 0 netten 2 nete yükselttim matematiğimi,Positive
yine mükemmel bir video,Positive
